object_type,object_id,action,attributes
teacher,263344,update,"ect_first_became_eligible_for_training_at,"
teacher,263426,update,"ect_first_became_eligible_for_training_at,"
teacher,263499,update,"ect_first_became_eligible_for_training_at,"
teacher,263653,update,"ect_first_became_eligible_for_training_at,"
teacher,265145,update,"ect_first_became_eligible_for_training_at,"
teacher,265158,update,"ect_first_became_eligible_for_training_at,"
teacher,242966,update,"ect_first_became_eligible_for_training_at,"
teacher,244207,update,"ect_first_became_eligible_for_training_at,"
teacher,254965,update,"ect_first_became_eligible_for_training_at,"
teacher,217411,update,"ect_first_became_eligible_for_training_at,"
teacher,223277,update,"ect_first_became_eligible_for_training_at,"
teacher,223293,update,"ect_first_became_eligible_for_training_at,"
teacher,223905,update,"ect_first_became_eligible_for_training_at,"
teacher,224137,update,"ect_first_became_eligible_for_training_at,"
teacher,224343,update,"ect_first_became_eligible_for_training_at,"
teacher,224857,update,"ect_first_became_eligible_for_training_at,"
teacher,226432,update,"ect_first_became_eligible_for_training_at,"
teacher,231002,update,"ect_first_became_eligible_for_training_at,"
teacher,231688,update,"ect_first_became_eligible_for_training_at,"
teacher,231903,update,"ect_first_became_eligible_for_training_at,"
teacher,232107,update,"ect_first_became_eligible_for_training_at,"
teacher,232754,update,"ect_first_became_eligible_for_training_at,"
teacher,233038,update,"ect_first_became_eligible_for_training_at,"
teacher,233389,update,"ect_first_became_eligible_for_training_at,"
teacher,234395,update,"ect_first_became_eligible_for_training_at,"
teacher,234563,update,"ect_first_became_eligible_for_training_at,"
teacher,234646,update,"ect_first_became_eligible_for_training_at,"
teacher,239689,update,"ect_first_became_eligible_for_training_at,"
teacher,239955,update,"ect_first_became_eligible_for_training_at,"
teacher,241914,update,"ect_first_became_eligible_for_training_at,"
teacher,243374,update,"ect_first_became_eligible_for_training_at,"
teacher,248285,update,"ect_first_became_eligible_for_training_at,"
teacher,249179,update,"ect_first_became_eligible_for_training_at,"
teacher,249207,update,"ect_first_became_eligible_for_training_at,"
teacher,249827,update,"ect_first_became_eligible_for_training_at,"
teacher,250312,update,"ect_first_became_eligible_for_training_at,"
teacher,250829,update,"ect_first_became_eligible_for_training_at,"
teacher,250934,update,"ect_first_became_eligible_for_training_at,"
teacher,250985,update,"ect_first_became_eligible_for_training_at,"
teacher,251513,update,"ect_first_became_eligible_for_training_at,"
teacher,252507,update,"ect_first_became_eligible_for_training_at,"
teacher,253049,update,"ect_first_became_eligible_for_training_at,"
teacher,253755,update,"ect_first_became_eligible_for_training_at,"
teacher,255514,update,"ect_first_became_eligible_for_training_at,"
teacher,259983,update,"ect_first_became_eligible_for_training_at,"
teacher,260642,update,"ect_first_became_eligible_for_training_at,"
teacher,260977,update,"ect_first_became_eligible_for_training_at,"
teacher,261329,update,"ect_first_became_eligible_for_training_at,"
teacher,261512,update,"ect_first_became_eligible_for_training_at,"
teacher,261790,update,"ect_first_became_eligible_for_training_at,"
teacher,268126,update,"ect_first_became_eligible_for_training_at,"
teacher,246295,update,"ect_first_became_eligible_for_training_at,"
teacher,229270,update,"ect_first_became_eligible_for_training_at,"
teacher,164819,update,"ect_first_became_eligible_for_training_at,"
teacher,218862,update,"ect_first_became_eligible_for_training_at,"
teacher,219180,update,"ect_first_became_eligible_for_training_at,"
teacher,219999,update,"ect_first_became_eligible_for_training_at,"
teacher,221265,update,"ect_first_became_eligible_for_training_at,"
teacher,221688,update,"ect_first_became_eligible_for_training_at,"
teacher,221690,update,"ect_first_became_eligible_for_training_at,"
teacher,221884,update,"ect_first_became_eligible_for_training_at,"
teacher,221860,update,"ect_first_became_eligible_for_training_at,"
teacher,221871,update,"ect_first_became_eligible_for_training_at,"
teacher,221911,update,"ect_first_became_eligible_for_training_at,"
teacher,221946,update,"ect_first_became_eligible_for_training_at,"
